0 -0 0 3.23394 6.84696 10 
10 13.153 15.8461 17.2401 18.5116 20 
20 21.4884 23.1935 25.4545 27.773 30 
30 32.227 34.3624 36.2573 38.112 40 
40 41.888 43.8092 45.8372 47.9186 50 
50 52.0814 54.1628 56.1908 58.112 60 
60 61.888 63.7427 65.6376 67.773 70 
70 72.227 74.5455 76.8065 78.5116 80 
80 81.4884 82.7599 84.1539 86.847 90 
90 93.153 96.7661 100 100 100 
